项目指令,用户名称,,country,province,city,district,formatted_address,level,location
C227,大连426厂,,中国,辽宁省,大连市,西岗区,辽宁省大连市西岗区426厂,兴趣点,"121.642260,38.932362"
T6B62,镇海炼化,,中国,浙江省,宁波市,镇海区,浙江省宁波市镇海区镇海,兴趣点,"121.592198,29.957395"
T5957,四川和邦,,中国,四川省,暂无数据,暂无数据,四川省,省,"104.075931,30.651651"
T5532,中电普安,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
C220-3,431厂青岛基地,,中国,山东省,青岛市,市北区,山东省青岛市市北区青岛基地,兴趣点,"120.337250,36.106625"
T5547,惠州炼化,,中国,广东省,惠州市,暂无数据,广东省惠州市,市,"114.416196,23.111847"
T6A60/61,陕西精益化工,,中国,陕西省,暂无数据,暂无数据,陕西省,省,"108.954239,34.265472"
T5759,日照广源,,中国,山东省,日照市,暂无数据,山东省日照市,市,"119.526888,35.416377"
WT5696,台湾永成,,中国,台湾省,暂无数据,暂无数据,台湾省,省,"121.508903,25.044319"
WT5875/76,孟加拉机组,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B12,榆林能化,,中国,陕西省,榆林市,暂无数据,陕西省榆林市,市,"109.734589,38.285390"
T5015,山西襄矿,,中国,山西省,暂无数据,暂无数据,山西省,省,"112.562398,37.873531"
T5664,国电兰州电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
KT5377,鲁西化工,,中国,云南省,曲靖市,罗平县,云南省曲靖市罗平县鲁西,村庄,"104.292084,24.743372"
T6B10,湖州协鑫环保,,中国,浙江省,湖州市,暂无数据,浙江省湖州市,市,"120.086823,30.894348"
T5879,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5699,莒南力源电厂,,中国,山东省,临沂市,莒南县,山东省临沂市莒南县莒南力源热电厂,兴趣点,"119.040519,35.170350"
T8102,华鲁恒升,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6C40,内蒙古玉王生物科技,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T8564,扬子石化,,中国,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区扬子街道,乡镇,"118.345131,32.317509"
T5031/32,内蒙古华能魏家峁电厂,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5887,内蒙华云新材料,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5083,神华宁煤,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5494,常州新港热电,,中国,江苏省,常州市,新北区,江苏省常州市新北区新港热电,兴趣点,"119.983571,31.962788"
T6B82,淄博鑫胜热电,,中国,山东省,淄博市,淄川区,山东省淄博市淄川区鑫胜热电,兴趣点,"117.948205,36.651031"
C232-2,无锡,,中国,江苏省,无锡市,暂无数据,江苏省无锡市,市,"120.311910,31.491169"
T6A63,洛阳石化,,中国,河南省,洛阳市,涧西区,河南省洛阳市涧西区中国石化,兴趣点,"112.400629,34.664605"
T6B53,京煤宜春热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT5785/86,印度项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5509,新能凤凰,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6C44,龙油项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5815,辽阳石化,,中国,辽宁省,辽阳市,暂无数据,辽宁省辽阳市,市,"123.236944,41.267244"
N0012,无锡703所,,中国,江苏省,无锡市,暂无数据,江苏省无锡市,市,"120.311910,31.491169"
T5886,海南石油化工,,中国,海南省,海口市,美兰区,海南省海口市美兰区石油化工,兴趣点,"110.409675,20.042641"
T5780,山东沂水热电,,中国,山东省,临沂市,沂水县,山东省临沂市沂水县,区县,"118.627918,35.790450"
WT6C11,泰国项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6A79/80,江苏斯尔邦,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T6A08,河南金大地,,中国,河南省,郑州市,二七区,河南省郑州市二七区金大地,兴趣点,"113.665893,34.740699"
T6C71,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8788,陕西未来能源,,中国,陕西省,暂无数据,暂无数据,陕西省,省,"108.954239,34.265472"
T5962,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5455/56/57/58,鄂州电厂二期,,中国,湖北省,鄂州市,华容区,湖北省鄂州市华容区鄂州电厂,兴趣点,"114.655699,30.540182"
T6B83,江苏灌南宏耀环保能源,,中国,江苏省,连云港市,灌南县,江苏省连云港市灌南县,区县,"119.315651,34.087135"
T8931,连云港罗盖特,,中国,江苏省,连云港市,连云区,江苏省连云港市连云区罗盖特,兴趣点,"119.204081,34.647174"
T5927,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5829,新浦化学,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5732/33/34,文莱恒逸,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B87,内蒙古荣信化工,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5577/78,深能保定,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5319/20/93/94,华能罗源,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5342/43/44,甘肃华亭,,中国,甘肃省,平凉市,华亭县,甘肃省平凉市华亭县,区县,"106.653158,35.218292"
